what,kind,bundleId,bundleVersion,description,time
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1257065217812
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1257065217812
java.vm.specification.version,sysinfo,,,"1.0",1257065217812
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1257065217812
java.vm.version,sysinfo,,,"11.2-b01",1257065217812
started,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1257065218890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257065219359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257065221390
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1257065290640
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1257065290921
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1257065290921
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1257065290921
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1257065290921
